grad,opstina,kvart,kvadratura,broj_soba,spratnost,stanje,grejanje,cena,lift,podrum,terasa
Beograd,Vračar,Neimar,277.0,6.5 soba,4/5 spratova,,Centralno grejanje,1100000.0,,,
Beograd,Čukarica opština,Čukarica,55.0,2 sobe,Visoko prizemlje/2 sprata,,Etažno grejanje,125000.0,,,Da
Beograd,Vračar,Kalenić,36.0,1 soba,3/3 sprata,,Grejanje na struju,118000.0,,,Da
Beograd,Čukarica opština,Čukarica,57.0,2.5 soba,3/4 sprata,,Centralno grejanje,108000.0,,,
Beograd,Novi Beograd,Hotel YU,73.0,3 sobe,9/9 spratova,,Centralno grejanje,215000.0,Da,,Da
Beograd,Stari Grad opština,Dorćol,79.0,3 sobe,4/5 spratova,,Centralno grejanje,319000.0,,,Da
Beograd,Zvezdara opština,Mirijevo,54.0,2 sobe,Visoko prizemlje/4 sprata,,Centralno grejanje,102000.0,Da,,
Beograd,Zemun opština,Zemun,54.0,2 sobe,1/2 sprata,,,106000.0,,,
Beograd,Vračar,Kalenić,107.0,5 soba,3/5 spratova,Renovirano,Centralno grejanje,375000.0,,,
Beograd,Novi Beograd,Blok 28,57.0,2 sobe,2/10 spratova,,Centralno grejanje,145000.0,Da,,Da
Beograd,Novi Beograd,Bežanijski Blokovi,48.0,1.5 soba,7/18 spratova,Renovirano,Centralno grejanje,147000.0,,,
Beograd,Voždovac opština,Šumice,32.0,1.5 soba,Visoko prizemlje/3 sprata,,Etažno grejanje,86400.0,,,
Beograd,Novi Beograd,Blok 19a,123.0,4 sobe,5/7 spratova,,Centralno grejanje,365000.0,,,Da
Beograd,Palilula opština,Cvijićeva,72.0,2.5 soba,5/7 spratova,,Centralno grejanje,260000.0,,,Da
Beograd,Zemun opština,Zemun,75.0,3 sobe,Visoko prizemlje/7 spratova,Renovirano,Centralno grejanje,225000.0,,,
Beograd,Zvezdara opština,Crveni Krst Zvezdara,111.0,3 sobe,Visoko prizemlje/5 spratova,,Centralno grejanje,275000.0,,,Da
Beograd,Zvezdara opština,Olimp,125.0,4 sobe,4/4 sprata,,Podno grejanje,270000.0,,,Da
Beograd,Voždovac opština,Braće Jerković,36.0,1.5 soba,1/3 sprata,,Etažno grejanje,94900.0,,,Da
Beograd,Rakovica opština,Kanarevo Brdo,73.0,3.5 soba,Prizemlje/7 spratova,,Centralno grejanje,150000.0,,,Da
Beograd,Zemun opština,Zemun,33.0,1.5 soba,2/3 sprata,,Centralno grejanje,60000.0,,,Da
Beograd,Zemun opština,Zemun,39.0,1.5 soba,2/3 sprata,,Centralno grejanje,72000.0,,,Da
Beograd,Savski Venac,Beograd na vodi,80.0,3 sobe,4/16 spratova,,Centralno grejanje,368000.0,Da,,
Beograd,Čukarica opština,Čukarica,112.0,4 sobe,3/5 spratova,,Grejanje na gas,315168.0,,,Da
Beograd,Zemun opština,Zemun,40.0,1 soba,2/3 sprata,,Centralno grejanje,72000.0,,,Da
Beograd,Zemun opština,Zemun,43.0,1.5 soba,2/3 sprata,,Etažno grejanje,74500.0,,,
Beograd,Palilula opština,Borča,29.0,Garsonjera,3/5 spratova,,Grejanje na struju,47850.0,Da,,Da
Beograd,Zvezdara opština,Konjarnik,92.0,4 sobe,Visoko prizemlje/5 spratova,,Centralno grejanje,230000.0,Da,,
Beograd,Zvezdara opština,Mirijevo,72.0,2.5 soba,4/5 spratova,,Centralno grejanje,147000.0,Da,,Da
Beograd,Rakovica opština,Miljakovac,85.0,4 sobe,2/2 sprata,,Etažno grejanje,173500.0,,,Da
Beograd,Čukarica opština,Čukarica,64.0,2.5 soba,1/9 spratova,Renovirano,Centralno grejanje,153600.0,Da,,
Beograd,Vračar,Crveni Krst Vračar,79.0,3 sobe,7/8 spratova,,,300200.0,,,Da
Beograd,Vračar,Cvetni Trg,94.0,3.5 soba,3/5 spratova,,Centralno grejanje,323000.0,Da,,
Beograd,Vračar,Krunski Venac,103.0,3 sobe,2/5 spratova,,Centralno grejanje,410000.0,,,Da
Beograd,Zemun opština,Zemun,70.0,3 sobe,Visoko prizemlje/4 sprata,,,164900.0,,,
Beograd,Palilula opština,Karaburma,93.0,3 sobe,1/4 sprata,,Etažno grejanje,200000.0,,,Da
Beograd,Čukarica opština,Čukarica,38.0,1.5 soba,Suteren/5 spratova,,Centralno grejanje,75000.0,,,
Beograd,Savski Venac,Palata Pravde,28.0,1 soba,8/8 spratova,,Centralno grejanje,96000.0,,,
