method,mae,rmse,mape,alpha_for_xgb,w_xgb,w_cnn,bias,lambda_xgb
blend,25210.80042526697,40195.7826746808,16.555022370634155,0.0,,,,
linear,25455.293154655457,39851.93641333836,17.250590706741715,,-0.9609520211457283,1.9320828505066316,5127.882686040801,
unc_blend,26004.722805781323,41537.94724871197,17.102115196748542,,,,,0.0001
final,25210.80042526697,40195.7826746808,16.555022370634155,,,,,
